
| job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:19 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
/ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:19 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
- job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:20 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
\ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:20 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
| job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:20 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
/ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:20 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
- job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:20 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
\ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:21 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
| job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:21 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
/ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:21 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
- job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:21 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
\ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:21 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
| job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:22 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
